
DisplayName                                                                                  DisplayVersion   Publisher
Microsoft .NET Targeting Pack - 10.0.9 (x64)                                                 80.36.53633      Micros...
Microsoft .NET Targeting Pack - 10.0.9 (x86)                                                 80.36.53633      Micros...
Microsoft .NET Targeting Pack - 5.0.0 (x64)                                                  40.0.29513       Micros...
Microsoft .NET Targeting Pack - 6.0.36 (x64)                                                 48.144.23141     Micros...
Microsoft .NET Targeting Pack - 6.0.36 (x86)                                                 48.144.23141     Micros...
Microsoft .NET Targeting Pack - 7.0.20 (x64)                                                 56.80.15184      Micros...
Microsoft .NET Targeting Pack - 8.0.28 (x64)                                                 64.112.53549     Micros...
Microsoft .NET Targeting Pack - 8.0.28 (x86)                                                 64.112.53549     Micros...
Microsoft .NET Targeting Pack - 9.0.17 (x64)                                                 72.68.53536      Micros...
Microsoft .NET Targeting Pack - 9.0.17 (x86)                                                 72.68.53536      Micros...
Microsoft .NET Toolset 10.0.301 (x64)                                                        40.11.22621      Micros...
Microsoft .NET Toolset 5.0.408 (x64)                                                         20.6.59784       Micros...
Microsoft .NET Toolset 6.0.428 (x64)                                                         24.15.28115      Micros...
Microsoft .NET Toolset 7.0.410 (x64)                                                         28.10.35687      Micros...
Microsoft .NET Toolset 8.0.422 (x64)                                                         32.15.38875      Micros...
Microsoft .NET Toolset 9.0.315 (x64)                                                         36.11.55168      Micros...
Microsoft 365 - es-es                                                                        16.0.20026.20168 Micros...
Microsoft ASP.NET Core 3.1.10 Targeting Pack (x64)                                           3.1.10.20520     Micros...
Microsoft ASP.NET Core 3.1.32 Shared Framework (x64)                                         3.1.32.22566     Micros...
Microsoft ASP.NET Core 3.1.32 Shared Framework (x86)                                         3.1.32.22566     Micros...
Microsoft ASP.NET Core 5.0.0 Targeting Pack (x64)                                            5.0.0.20526      Micros...
Microsoft ASP.NET Core 5.0.17 Shared Framework (x64)                                         5.0.17.22215     Micros...
Microsoft ASP.NET Core 5.0.17 Shared Framework (x86)                                         5.0.17.22215     Micros...
Microsoft ASP.NET Core 6.0.36 Shared Framework (x64)                                         6.0.36.24516     Micros...
Microsoft ASP.NET Core 6.0.36 Shared Framework (x86)                                         6.0.36.24516     Micros...
Microsoft ASP.NET Core 6.0.36 Targeting Pack (x64)                                           6.0.36.24516     Micros...
Microsoft ASP.NET Core 6.0.36 Targeting Pack (x86)                                           6.0.36.24516     Micros...
Microsoft ASP.NET Core 7.0.20 Shared Framework (x64)                                         7.0.20.24269     Micros...
Microsoft ASP.NET Core 7.0.20 Targeting Pack (x64)                                           7.0.20.24269     Micros...
Microsoft ASP.NET Core 8.0.28 Shared Framework (x64)                                         8.0.28.26269     Micros...
Microsoft ASP.NET Core 8.0.28 Shared Framework (x86)                                         8.0.28.26269     Micros...
Microsoft ASP.NET Core 8.0.28 Targeting Pack (x64)                                           8.0.28.26269     Micros...
Microsoft ASP.NET Core 8.0.28 Targeting Pack (x86)                                           8.0.28.26269     Micros...
Microsoft ASP.NET Core 9.0.17 Shared Framework (x64)                                         9.0.17.26269     Micros...
Microsoft ASP.NET Core 9.0.17 Shared Framework (x86)                                         9.0.17.26269     Micros...
Microsoft ASP.NET Core 9.0.17 Targeting Pack (x64)                                           9.0.17.26269     Micros...
Microsoft ASP.NET Core 9.0.17 Targeting Pack (x86)                                           9.0.17.26269     Micros...
Microsoft ASP.NET Core Module for IIS Express                                                12.2.18292.0     Micros...
Microsoft ASP.NET Core Module V2 for IIS Express                                             17.0.22116.0     Micros...
Microsoft ASP.NET Core Runtime - 10.0.9 (x64)                                                80.36.53633      Micros...
Microsoft ASP.NET Core Runtime - 10.0.9 (x86)                                                80.36.53633      Micros...
Microsoft ASP.NET Core Targeting Pack - 10.0.9 (x64)                                         80.36.53633      Micros...
Microsoft ASP.NET Core Targeting Pack - 10.0.9 (x86)                                         80.36.53633      Micros...
Microsoft ASP.NET Diagnostic Pack for Visual Studio                                          18.7.33.39587    Micros...
Microsoft ASP.NET Web Tools Packages 17.0 - ENU                                              17.0.50411.0     Micros...
Microsoft ASP.NET Web Tools Packages 17.0 - ESN                                              17.0.50411.0     Micros...
Microsoft ASP.NET Web Tools Packages 18.0 - ENU                                              18.0.60427.0     Micros...
Microsoft ASP.NET Web Tools Packages 18.0 - ESN                                              18.0.60427.0     Micros...
Microsoft Command Line Utilities 15 for SQL Server                                           15.0.1300.359    Micros...
Microsoft Edge                                                                               149.0.4022.69    Micros...
Microsoft Exchange Web Services Managed API 2.1                                              15.0.847.30      Micros...
Microsoft Help Viewer 2.3                                                                    2.3.28307        Micros...
Microsoft Help Viewer 2.3                                                                    2.3.28307        Micros...
Microsoft NetStandard SDK                                                                    15.0.51105       Micros...
Microsoft ODBC Driver 17 for SQL Server                                                      17.11.1.1        Micros...
Microsoft OLE DB Driver 19 for SQL Server                                                    19.4.1.0         Micros...
Microsoft OLE DB Driver for SQL Server                                                       18.7.4.0         Micros...
Microsoft OneDrive                                                                           26.095.0519.0003 Micros...
Microsoft SQL Server 2019 LocalDB                                                            15.0.4382.1      Micros...
Microsoft SQL Server 2022 (64-bit)                                                                                     
Microsoft SQL Server 2022 (64-bit)                                                                            Micros...
Microsoft SQL Server 2022 RsFx Driver                                                        16.0.1000.6      Micros...
Microsoft SQL Server 2022 Setup (English)                                                    16.0.1180.1      Micros...
Microsoft SQL Server 2025 LocalDB                                                            17.0.4025.3      Micros...
Microsoft SQL Server Management Studio - 20.2.1                                              20.2.37.0        Micros...
Microsoft System CLR Types para SQL Server 2019                                              15.0.2000.5      Micros...
Microsoft TestPlatform SDK Local Feed                                                        17.10.0.9037153  Microsoft
Microsoft UniversalWindowsPlatform SDK                                                       15.9.16          Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17                                 9.0.30729        Micros...
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161                               9.0.30729.6161   Micros...
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219                                  10.0.40219       Micros...
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                                  10.0.40219       Micros...
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501                                 12.0.30501.0     Micros...
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664                                 12.0.40664.0     Micros...
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664                                 12.0.40664.0     Micros...
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664                                12.0.40664       Micros...
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664                                   12.0.40664       Micros...
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664                                12.0.40664       Micros...
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664                                   12.0.40664       Micros...
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247                               14.51.36247      Micros...
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.51.36247                                    14.51.36247      Micros...
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247                                  14.51.36247      Micros...
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247                               14.51.36247      Micros...
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.51.36247                                    14.51.36247      Micros...
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247                                  14.51.36247      Micros...
Microsoft Visual C++ v14 Redistributable (x64) - 14.51.36247                                 14.51.36247.0    Micros...
Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247                                 14.51.36247.0    Micros...
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                                  10.0.60917       Micros...
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                                  10.0.60922       Micros...
Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - ESN              10.0.60917       Micros...
Microsoft Visual Studio Code                                                                 1.124.2          Micros...
Microsoft Visual Studio Installer                                                            4.7.25.22189     Micros...
Microsoft Visual Studio Setup Configuration                                                  4.7.7.8087       Micros...
Microsoft Visual Studio Setup WMI Provider                                                   4.7.7.8087       Micros...
Microsoft Visual Studio Tools for Applications 2019                                          16.0.31110       Micros...
Microsoft Visual Studio Tools for Applications 2019 x64 Hosting Support                      16.0.31110       Micros...
Microsoft Visual Studio Tools for Applications 2019 x86 Hosting Support                      16.0.31110       Micros...
Microsoft VSS Writer para SQL Server 2022                                                    16.0.1000.6      Micros...
Microsoft Web Deploy 4.0                                                                     10.0.9419        Micros...
Microsoft Windows Communication Foundation Diagnostic Pack for x86                           17.14.36015      Microsoft
Microsoft Windows Communication Foundation Diagnostic Pack for x86                           18.7.11811       Microsoft
Microsoft Windows Desktop Runtime - 10.0.9 (x64)                                             80.36.53633      Micros...
Microsoft Windows Desktop Runtime - 10.0.9 (x86)                                             80.36.53633      Micros...
Microsoft Windows Desktop Runtime - 3.1.32 (x64)                                             24.192.31915     Micros...
Microsoft Windows Desktop Runtime - 3.1.32 (x86)                                             24.192.31915     Micros...
Microsoft Windows Desktop Runtime - 5.0.17 (x64)                                             40.68.31219      Micros...
Microsoft Windows Desktop Runtime - 5.0.17 (x86)                                             40.68.31219      Micros...
Microsoft Windows Desktop Runtime - 6.0.36 (x64)                                             48.144.23186     Micros...
Microsoft Windows Desktop Runtime - 6.0.36 (x86)                                             48.144.23186     Micros...
Microsoft Windows Desktop Runtime - 7.0.12 (x86)                                             56.48.2562       Micros...
Microsoft Windows Desktop Runtime - 7.0.12 (x86)                                             7.0.12.32928     Micros...
Microsoft Windows Desktop Runtime - 7.0.20 (x64)                                             7.0.20.33720     Micros...
Microsoft Windows Desktop Runtime - 7.0.20 (x64)                                             56.80.15245      Micros...
Microsoft Windows Desktop Runtime - 8.0.28 (x64)                                             64.112.53617     Micros...
Microsoft Windows Desktop Runtime - 8.0.28 (x86)                                             64.112.53617     Micros...
Microsoft Windows Desktop Runtime - 9.0.17 (x64)                                             72.68.53601      Micros...
Microsoft Windows Desktop Runtime - 9.0.17 (x86)                                             72.68.53601      Micros...
Microsoft Windows Desktop Runtime 10.0.9 (x64)                                               10.0.9.50000     Micros...
Microsoft Windows Desktop Targeting Pack - 10.0.9 (x64)                                      80.36.53633      Micros...
Microsoft Windows Desktop Targeting Pack - 10.0.9 (x86)                                      80.36.53633      Micros...
Microsoft Windows Desktop Targeting Pack - 3.1.0 (x64)                                       24.64.28315      Micros...
Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64)                                       40.0.29420       Micros...
Microsoft Windows Desktop Targeting Pack - 6.0.36 (x64)                                      48.144.23186     Micros...
Microsoft Windows Desktop Targeting Pack - 6.0.36 (x86)                                      48.144.23186     Micros...
Microsoft Windows Desktop Targeting Pack - 7.0.20 (x64)                                      56.80.15245      Micros...
Microsoft Windows Desktop Targeting Pack - 8.0.28 (x64)                                      64.112.53617     Micros...
Microsoft Windows Desktop Targeting Pack - 8.0.28 (x86)                                      64.112.53617     Micros...
Microsoft Windows Desktop Targeting Pack - 9.0.17 (x64)                                      72.68.53601      Micros...
Microsoft Windows Desktop Targeting Pack - 9.0.17 (x86)                                      72.68.53601      Micros...
Microsoft Workflow Debugger v1.0 for amd64                                                   18.0.11811       Microsoft
Microsoft Workflow Debugger v1.0 for amd64                                                   17.0.36015       Microsoft
Microsoft Workflow Debugger v1.0 for x86                                                     18.0.11811       Microsoft
Microsoft Workflow Debugger v1.0 for x86                                                     17.0.36015       Microsoft
Microsoft Workflow Diagnostic Pack for x64                                                   17.14.36015      Microsoft
Microsoft Workflow Diagnostic Pack for x64                                                   18.7.11811       Microsoft
Microsoft.Android.Ref.35 (x64)                                                               35.0.101.0       Micros...
Microsoft.Android.Ref.35 (x64)                                                               35.0.78.0        Micros...
Microsoft.Android.Ref.36 (x64)                                                               36.1.43.0        Micros...
Microsoft.Android.Runtime.35.android-arm (x64)                                               35.0.78.0        Micros...
Microsoft.Android.Runtime.35.android-arm (x64)                                               35.0.101.0       Micros...
Microsoft.Android.Runtime.35.android-arm64 (x64)                                             35.0.101.0       Micros...
Microsoft.Android.Runtime.35.android-arm64 (x64)                                             35.0.78.0        Micros...
Microsoft.Android.Runtime.35.android-x64 (x64)                                               35.0.78.0        Micros...
Microsoft.Android.Runtime.35.android-x64 (x64)                                               35.0.101.0       Micros...
Microsoft.Android.Runtime.35.android-x86 (x64)                                               35.0.101.0       Micros...
Microsoft.Android.Runtime.35.android-x86 (x64)                                               35.0.78.0        Micros...
Microsoft.Android.Runtime.36.android (x64)                                                   36.1.43.0        Micros...
Microsoft.Android.Runtime.CoreCLR.36.android-arm64 (x64)                                     36.1.43.0        Micros...
Microsoft.Android.Runtime.CoreCLR.36.android-x64 (x64)                                       36.1.43.0        Micros...
Microsoft.Android.Runtime.Mono.36.android-arm (x64)                                          36.1.43.0        Micros...
Microsoft.Android.Runtime.Mono.36.android-arm64 (x64)                                        36.1.43.0        Micros...
Microsoft.Android.Runtime.Mono.36.android-x64 (x64)                                          36.1.43.0        Micros...
Microsoft.Android.Runtime.Mono.36.android-x86 (x64)                                          36.1.43.0        Micros...
Microsoft.Android.Runtime.NativeAOT.36.android-arm64 (x64)                                   36.1.43.0        Micros...
Microsoft.Android.Runtime.NativeAOT.36.android-x64 (x64)                                     36.1.43.0        Micros...
Microsoft.Android.Sdk.Windows (x64)                                                          34.0.154.0       Micros...
Microsoft.Android.Sdk.Windows (x64)                                                          35.0.78.0        Micros...
Microsoft.Android.Sdk.Windows (x64)                                                          36.1.43.0        Micros...
Microsoft.Android.Sdk.Windows (x64)                                                          35.0.101.0       Micros...
Microsoft.Android.Sdk.Windows (x64)                                                          35.0.105.0       Micros...
Microsoft.AspNetCore.Components.WebView.Maui (x64)                                           9.0.111.0        Micros...
